"","fips","year","countyfips","statefips","stateusps","pop","z_ED_nat","z_HE_nat","z_SE_nat","z_COI_nat","c5_ED_nat","c5_HE_nat","c5_SE_nat","c5_COI_nat","r_ED_nat","r_HE_nat","r_SE_nat","r_COI_nat","c5_ED_stt","c5_HE_stt","c5_SE_stt","c5_COI_stt","r_ED_stt","r_HE_stt","r_SE_stt","r_COI_stt","c5_ED_met","c5_HE_met","c5_SE_met","c5_COI_met","r_ED_met","r_HE_met","r_SE_met","r_COI_met"
"11",22071000607,2015,22071,22,"LA",1450,0.021047862,0.032528337,0.14359613,0.022524541,"High","High","High","High",65,62,74,71,"Very High","Very High","Very High","Very High",87,89,88,91,"High","Very High","Very High","Very High",78,82,83,87
"12",22071000611,2015,22071,22,"LA",1306,-0.0060296664,-0.043206602,-0.25317058,-0.034771223,"Moderate","Very Low","Very Low","Very Low",51,9,10,13,"High","Very Low","Low","Low",66,17,21,23,"Moderate","Very Low","Very Low","Low",50,19,20,21
"13",22071000612,2015,22071,22,"LA",438,0.046889096,0.0074920892,0.19013232,0.028163072,"High","Low","Very High","High",76,37,84,78,"Very High","Moderate","Very High","Very High",95,60,96,94,"Very High","Moderate","Very High","Very High",88,55,94,91
"14",22071000613,2015,22071,22,"LA",1637,0.00072621327,-0.0083282143,-0.36421922,-0.043279931,"Moderate","Low","Very Low","Very Low",55,25,5,9,"High","Moderate","Very Low","Very Low",73,41,9,16,"Moderate","Low","Very Low","Very Low",59,39,8,13
"15",22071000615,2015,22071,22,"LA",1248,0.013539387,0.0082107568,-0.14885084,-0.014990569,"High","Low","Low","Low",62,38,21,28,"Very High","High","Low","Moderate",82,61,34,44,"High","Moderate","Low","Low",73,58,33,40
"16",22071000616,2015,22071,22,"LA",1250,0.016578652,-0.04396522,0.0064887721,-0.0020632253,"High","Very Low","Moderate","Moderate",63,9,46,42,"Very High","Very Low","High","High",84,17,64,62,"High","Very Low","Moderate","Moderate",75,18,58,55
"17",22071000617,2015,22071,22,"LA",1346,0.023176683,-0.027195593,-0.21595065,-0.025498785,"High","Very Low","Very Low","Very Low",66,15,13,19,"Very High","Low","Low","Low",88,25,25,31,"High","Low","Low","Low",80,27,24,29
"18",22071000618,2015,22071,22,"LA",1129,0.042456225,-0.0017197245,0.13297479,0.020030081,"High","Low","High","High",74,30,72,69,"Very High","Moderate","Very High","Very High",95,49,86,88,"Very High","Moderate","Very High","Very High",88,47,81,84
"19",22071000701,2015,22071,22,"LA",156,-0.045718677,-0.091455132,-0.47074005,-0.069653399,"Low","Very Low","Very Low","Very Low",27,2,2,2,"Low","Very Low","Very Low","Very Low",32,4,3,3,"Very Low","Very Low","Very Low","Very Low",12,4,3,2
"20",22071000702,2015,22071,22,"LA",464,-0.011399731,-0.095182523,-0.16567303,-0.030666642,"Moderate","Very Low","Very Low","Very Low",48,2,19,16,"High","Very Low","Low","Low",62,3,32,26,"Moderate","Very Low","Low","Low",45,3,30,24
"21",22071000800,2015,22071,22,"LA",345,-0.025846833,-0.10305908,-0.44226411,-0.065359816,"Low","Very Low","Very Low","Very Low",39,2,3,3,"Moderate","Very Low","Very Low","Very Low",47,2,3,4,"Low","Very Low","Very Low","Very Low",31,2,3,3
"22",22071000901,2015,22071,22,"LA",254,-0.029174889,-0.12592132,-0.21982601,-0.042207461,"Low","Very Low","Very Low","Very Low",37,1,13,9,"Moderate","Very Low","Low","Very Low",45,1,24,16,"Low","Very Low","Low","Very Low",28,1,23,14
"23",22071000902,2015,22071,22,"LA",178,-0.019453814,-0.013582209,-0.2559227,-0.03344167,"Moderate","Low","Very Low","Very Low",43,22,10,14,"Moderate","Low","Very Low","Low",54,36,20,24,"Low","Low","Very Low","Low",37,35,20,22
"24",22071000903,2015,22071,22,"LA",123,-0.028765451,-0.11058473,-0.39452741,-0.06091281,"Low","Very Low","Very Low","Very Low",37,1,4,4,"Moderate","Very Low","Very Low","Very Low",45,2,6,5,"Low","Very Low","Very Low","Very Low",28,1,6,3
"25",22071000904,2015,22071,22,"LA",193,-0.021805782,-0.10803829,-0.46977276,-0.068647794,"Moderate","Very Low","Very Low","Very Low",42,1,2,3,"Moderate","Very Low","Very Low","Very Low",52,2,3,3,"Low","Very Low","Very Low","Very Low",35,2,3,2
"26",22071001100,2015,22071,22,"LA",247,-0.012657179,-0.067886308,-0.18051673,-0.029645989,"Moderate","Very Low","Very Low","Very Low",47,4,17,16,"High","Very Low","Low","Low",61,9,30,27,"Moderate","Very Low","Low","Low",45,10,29,25
"27",22071001200,2015,22071,22,"LA",94,0.0042201942,-0.014554385,0.16892646,0.018627586,"Moderate","Low","High","High",57,21,80,67,"High","Low","Very High","Very High",76,35,93,86,"High","Low","Very High","High",62,34,91,80
"28",22071001301,2015,22071,22,"LA",275,-0.037648104,-0.060279492,-0.33540052,-0.049672805,"Low","Very Low","Very Low","Very Low",32,5,6,7,"Low","Very Low","Very Low","Very Low",38,11,12,12,"Very Low","Very Low","Very Low","Very Low",19,13,12,9
"29",22071001302,2015,22071,22,"LA",138,-0.049388357,-0.06777823,-0.47348115,-0.067871831,"Low","Very Low","Very Low","Very Low",25,4,2,3,"Low","Very Low","Very Low","Very Low",29,9,3,3,"Very Low","Very Low","Very Low","Very Low",10,10,3,2
"30",22071001401,2015,22071,22,"LA",334,-0.035679769,-0.12819469,-0.47073975,-0.072432555,"Low","Very Low","Very Low","Very Low",33,1,2,2,"Low","Very Low","Very Low","Very Low",40,1,3,3,"Low","Very Low","Very Low","Very Low",21,1,3,2
"31",22071001402,2015,22071,22,"LA",505,-0.015531996,-0.062161095,-0.21983072,-0.033943206,"Moderate","Very Low","Very Low","Very Low",46,5,13,14,"Moderate","Very Low","Low","Low",58,10,24,24,"Moderate","Very Low","Low","Low",42,12,23,22
"32",22071001500,2015,22071,22,"LA",169,-0.041532155,-0.047111295,-0.53843778,-0.072388254,"Low","Very Low","Very Low","Very Low",30,8,1,2,"Low","Very Low","Very Low","Very Low",35,15,1,3,"Very Low","Very Low","Very Low","Very Low",16,16,2,2
"33",22071001701,2015,22071,22,"LA",581,0.013884605,-0.011134184,-0.32517374,-0.037565541,"High","Low","Very Low","Very Low",62,24,6,12,"Very High","Low","Very Low","Low",82,38,12,21,"High","Low","Very Low","Very Low",74,36,12,19
"34",22071001702,2015,22071,22,"LA",773,0.0011824556,0.010975096,-0.14487714,-0.015603319,"Moderate","Low","Low","Low",55,40,21,28,"High","High","Low","Moderate",74,65,35,43,"Moderate","High","Low","Low",59,62,34,40
